housing_median_age,total_rooms,total_bedrooms,median_income,median_house_value,ocean_proximity
52,1467,190,7,352100,NEAR BAY
52,1274,235,5,341300,NEAR BAY
52,1627,280,3,342200,NEAR BAY
52,919,213,4,269700,NEAR BAY
52,2535,489,3,299200,NEAR BAY
52,3104,687,3,241400,NEAR BAY
42,2555,665,2,226700,NEAR BAY
52,3549,707,3,261100,NEAR BAY
52,2202,434,3,281500,NEAR BAY
52,3503,752,3,241800,NEAR BAY
52,2491,474,3,213500,NEAR BAY
52,696,191,2,191300,NEAR BAY
50,1120,283,2,140000,NEAR BAY
52,1966,347,2,152500,NEAR BAY
52,1228,293,2,155500,NEAR BAY
52,1503,298,2,162900,NEAR BAY
52,1688,337,2,99700,NEAR BAY
52,2224,437,2,132600,NEAR BAY
41,535,123,2,107500,NEAR BAY
49,1130,244,2,93800,NEAR BAY
51,2665,574,2,109700,NEAR BAY
52,1470,330,3,191400,NEAR BAY
52,2432,715,2,176000,NEAR BAY
52,1665,419,2,155400,NEAR BAY
52,950,202,3,188800,NEAR BAY
52,1443,311,3,184400,NEAR BAY
52,1656,420,2,182300,NEAR BAY
50,1125,322,2,142500,NEAR BAY
2,158,43,2,60000,NEAR BAY
52,1121,211,3,75700,NEAR BAY
49,135,29,6,75000,NEAR BAY
48,828,182,2,73500,NEAR BAY
52,1027,244,2,81300,NEAR BAY
20,835,161,2,137500,NEAR BAY
36,2914,562,2,102100,NEAR BAY
38,684,176,2,131300,NEAR BAY
52,773,143,2,98200,NEAR BAY
16,994,392,2,162500,NEAR BAY
27,1055,347,2,187500,NEAR BAY
29,335,107,2,125000,NEAR BAY
37,3633,1085,2,193100,NEAR BAY
39,854,242,3,237500,NEAR BAY
52,2155,701,2,350000,NEAR BAY
52,1509,225,4,313400,NEAR BAY
52,2026,482,3,268500,NEAR BAY
52,1758,460,3,259400,NEAR BAY
52,3481,751,3,275700,NEAR BAY
28,3337,855,3,225000,NEAR BAY
52,1424,289,5,262500,NEAR BAY
32,3809,1098,2,218500,NEAR BAY
52,2376,559,3,224100,NEAR BAY
35,1613,428,3,243100,NEAR BAY
52,1279,287,3,231600,NEAR BAY
52,4190,1105,3,234100,NEAR BAY
50,2515,399,5,327600,NEAR BAY
47,3175,454,5,347600,NEAR BAY
41,2576,406,5,366100,NEAR BAY
37,334,54,4,335000,NEAR BAY
52,2800,411,6,373600,NEAR BAY
52,3529,574,5,389500,NEAR BAY
52,2612,365,7,391100,NEAR BAY
28,5287,1048,5,337300,NEAR BAY
50,2935,473,7,295200,NEAR BAY
44,3424,597,6,292300,NEAR BAY
40,4991,674,7,411500,NEAR BAY
30,2211,346,6,311500,NEAR BAY
34,3038,490,7,325900,NEAR BAY
35,2865,460,7,319300,NEAR BAY
34,5065,788,6,333300,NEAR BAY
29,1791,271,6,368900,NEAR BAY
37,1229,181,7,366700,NEAR BAY
39,3770,534,6,362800,NEAR BAY
52,2375,333,7,331400,NEAR BAY
45,2964,436,6,323500,NEAR BAY
50,2833,605,2,216700,NEAR BAY
38,2254,535,3,233100,NEAR BAY
52,1389,212,5,296400,NEAR BAY
52,1971,335,6,273700,NEAR BAY
52,2183,465,3,227700,NEAR BAY
52,2286,464,3,199600,NEAR BAY
52,2721,541,4,239800,NEAR BAY
52,2024,339,4,270100,NEAR BAY
52,2944,536,5,302100,NEAR BAY
52,2033,486,3,269500,NEAR BAY
52,1433,229,4,314700,NEAR BAY
52,2485,313,6,352400,NEAR BAY
52,1490,238,6,287300,NEAR BAY
52,2814,365,7,348700,NEAR BAY
52,2093,550,2,243800,NEAR BAY
52,888,168,2,211500,NEAR BAY
52,2087,510,3,218400,NEAR BAY
52,2513,502,3,269900,NEAR BAY
46,3232,835,3,218800,NEAR BAY
42,4120,1065,2,225000,NEAR BAY
43,2364,792,2,250000,NEAR BAY
27,1632,492,2,125000,NEAR BAY
50,629,188,2,125000,NEAR BAY
52,1339,391,2,138800,NEAR BAY
36,1678,606,2,116700,NEAR BAY
52,996,228,2,127000,NEAR BAY
